Name,"Sub Category","Plan","AUM","CAGR 3Y","Expense Ratio","Volatility","Sharpe Ratio","Alpha","Sortino Ratio","Tracking Error","Time since inception","SEBI Risk Category","NAV"
Union Flexi Cap Fund,"Flexi Cap Fund","Growth","2227.4742","19.324763039263182","0.92","16.641246596334064","0.3238399604743059","2.36","0.0305","2.746289860885045","149","Very High","55.71"
Sundaram Ultra Short Duration Fund,"Ultra Short Duration Fund","Growth","2225.2173217698","7.3555671736314165","0.23","0.3444768207006097","11.067706884445396","0","1.46","0","149","Moderate","2912.861"
Motilal Oswal Nifty 500 Index Fund,"Index Fund","Growth","2199.2143","18.809484958244038","0.21","17.203204174804185","0.2952658463148083","2.1","0.0281","0.0730227361853827","69","Very High","26.3791"
Templeton India Value Fund,"Value Fund","Growth","2195.233762993","23.952408089202336","0.85","15.712587886150391","0.15398272630395918","1.04","0.0146","3.6622489647756065","149","Very High","788.235"
Kotak Infra & Eco Reform Fund,"Sectoral Fund - Infrastructure","Growth","2180.7244","29.590469323625346","0.71","21.682990294698744","-0.05079842517244015","0.97","-0.0045","9.37865924746176","149","Very High","76.756"
SBI CRISIL IBX Gilt Index - Apr 2029 Fund,"Flexi Cap Fund","Growth","2179.2816000000003","0","0.21","1.3271088576299985","5.135403294776371","0","0.6346","0","32","Moderate","12.6445"
DSP Nifty SDL Plus G-Sec Jun 2028 30:70 Index Fund,"Flexi Cap Fund","Growth","2166.7723","8.428674485853982","0.15","0.8905598913043412","6.702217221188821","0","0.9755","0","39","Moderately Low","12.5268"
Kotak MNC Fund,"Thematic Fund - MNC","Growth","2157.2316","0","0.56","14.221971597496601","-0.4190870076726312","5.84","-0.0415","6.087873766759623","8","Very High","9.913"
Motilal Oswal Large Cap Fund,"Large Cap Fund","Growth","2149.705","0","0.8","15.84117139986813","1.3112343497636112","7.88","0.1354","4.3131037872974956","16","Very High","13.792"
NJ Flexi Cap Fund,"Flexi Cap Fund","Growth","2144.275296256","0","0.68","18.2239350306129","-0.16033252945051418","-1.08","-0.0153","7.121304228861453","21","Very High","13.61"
UTI Infrastructure Fund,"Sectoral Fund - Infrastructure","Growth","2139.143","25.780376342238178","1.83","19.936794429396116","-0.07143528539874394","0.8699999999999999","-0.0064","4.336915549097077","149","Very High","147.436"
Franklin India Equity Hybrid Fund,"Aggressive Hybrid Fund","Growth","2131.248014947","18.841971225587972","0.93","11.389959394133063","0.6175183560024754","0.58","0.0589","2.1541707174687894","149","Very High","307.2686"
Kotak Bond Fund,"Medium to Long Duration Fund","Growth","2129.6733","9.022315208971632","0.7","1.8700170266604528","3.6622489647756065","0","0.4044","0","149","Moderate","86.983"
Motilal Oswal Nifty Midcap 150 Index Fund,"Index Fund","Growth","2126.1299","27.419148223232924","0.3","20.819417066767265","0.32066505890102837","3.3099999999999996","0.0301","0.04127372045260761","69","Very High","38.1683"
Nippon India Gilt Securities-DMDO,"Gilt - Short & Mid Term Fund","Growth","2115.3482999999997","9.19930379413254","0.5","2.554208315701756","2.811375343137234","0","0.3033","0","143","Moderate","43.7228"
Nippon India Gilt Securities Fund,"Gilt - Short & Mid Term Fund","Growth","2115.3482999999997","9.199231986976898","0.5","2.554208315701756","2.811375343137234","0","0.3033","0","149","Moderate","43.605"
DSP Multicap Fund,"Multi Cap Fund","Growth","2070.7042","0","0.58","17.184154765364518","0.37940073800666235","2.9899999999999998","0.0364","5.524328737502865","17","Very High","12.098"
DSP Nifty 50 Equal Weight Index Fund,"Index Fund","Growth","2068.4663","19.820130353231","0.39","16.20628508079504","0.3047905510346408","1.79","0.0308","0.04762352359916264","92","Very High","25.7816"
Tata Retirement Sav Fund - Mod Plan,"Solution Oriented, Retirement Fund - Equity Oriented","Growth","2067.2005287409997","18.72526196939308","0.63","15.107769136441025","0.5413207182438152","0","0.0509","0","149","Very High","75.4775"
Mahindra Manulife Focused Fund,"Focused Fund","Growth","2058.844","24.5451937221997","0.41","16.66982071049356","0.25875447822211695","1.79","0.0246","3.5924011301635015","55","Very High","28.5316"
